Date,CPI (UK),France,Germany,Italy,US - HICP,US - CPI(U)
Aug-12,2.5,2.4,2.3,3.4,1.7,1.7
Sep-12,2.2,2.2,2.2,3.4,2,2
Oct-12,2.7,2.1,2.1,2.8,2.2,2.2
Nov-12,2.7,1.6,1.9,2.6,1.7,1.8
Dec-12,2.7,1.5,2.1,2.6,1.7,1.7
Jan-13,2.7,1.4,1.9,2.4,1.5,1.6
Feb-13,2.8,1.2,1.8,2,1.9,2
Mar-13,2.8,1.1,1.9,1.8,1.3,1.5
Apr-13,2.4,0.8,1.1,1.2,0.8,1.1
May-13,2.7,0.9,1.5,1.2,1.2,1.4
Jun-13,2.9,1,2,1.2,1.7,1.8
Jul-13,2.8,1.2,2,1.2,1.8,2
Aug-13,2.7,1,1.5,1.1,1.3,1.5
Sep-13,2.7,1,1.5,0.9,0.8,1.2
Oct-13,2.2,0.7,1.2,0.7,0.6,1
Nov-13,2.1,0.8,1.6,0.6,0.9,1.2
Dec-13,2,0.8,1.2,0.6,1.2,1.5
Jan-14,1.9,0.8,1.1,0.6,1.3,1.6
Feb-14,1.7,1.1,1,0.4,0.8,1.1
Mar-14,1.6,0.8,0.7,0.3,1.2,1.5
Apr-14,1.8,0.8,1.1,0.5,1.8,2
May-14,1.5,0.8,0.7,0.4,2,2.1
Jun-14,1.9,0.6,0.9,0.3,1.9,2.1
Jul-14,1.6,0.6,0.7,0,1.8,2
Aug-14,1.5,0.5,0.8,-0.1,1.4,1.7
Sep-14,1.2,0.4,0.8,-0.1,1.4,1.7
Oct-14,1.3,0.5,0.7,0.2,1.4,1.7
Nov-14,1,0.4,0.5,0.3,0.9,1.3
Dec-14,0.5,0.1,0.1,0,0.2,0.8
Jan-15,0.3,-0.4,-0.5,-0.5,-1,-0.1
Feb-15,0,-0.3,-0.2,0.1,-0.9,0
Mar-15,0,0,0.3,0,-1,-0.1
Apr-15,-0.1,0.1,1,-0.1,-1.2,-0.2
May-15,0.1,0.3,1.6,0.2,-1,0
Jun-15,0,0.3,1.1,0.2,-0.8,0.1
Jul-15,0.1,0.2,1.3,0.4,-0.7,0.2
Aug-15,0,0.1,1.1,0.3,-0.7,0.2
Sep-15,-0.1,0.1,0.8,0.2,-1.1,0
Oct-15,-0.1,0.2,1.2,0.3,-0.8,0.2
Nov-15,0.1,0.1,0.2,0.1,-0.3,0.5
Dec-15,0.2,0.3,0.2,0.1,-0.1,0.7
Jan-16,0.3,0.3,0.4,0.4,0.8,1.4
Feb-16,0.3,-0.1,-0.1,-0.2,0.3,1
Mar-16,0.5,-0.1,0.1,-0.2,0.1,0.9
Apr-16,0.3,-0.1,-0.3,-0.4,0.4,1.1
May-16,0.3,0.1,-0.1,-0.3,0.3,1
Jun-16,0.5,0.3,0.1,-0.2,0.2,1
Jul-16,0.6,0.4,0.3,-0.2,0,0.8
Aug-16,0.6,0.4,0.3,-0.1,0.3,1.1
Sep-16,1,0.5,0.6,0.1,0.8,1.5
Oct-16,0.9,0.5,0.7,-0.1,1,1.6
Nov-16,1.2,0.7,0.8,0.1,1,1.7
Dec-16,1.6,0.8,1.6,0.5,1.5,2.1
Jan-17,1.8,1.6,1.7,1,2.1,2.5
Feb-17,2.3,1.4,2.1,1.6,2.5,2.7
Mar-17,2.3,1.4,1.5,1.4,2,2.4
Apr-17,2.7,1.4,2,2,1.8,2.2
May-17,2.9,0.9,1.3,1.6,1.4,1.9
Jun-17,2.6,0.8,1.7,1.2,1.1,1.6
Jul-17,2.6,0.8,1.7,1.2,1.2,1.7
Aug-17,2.9,1,1.9,1.4,1.5,1.9
Sep-17,3,1.1,1.9,1.3,1.9,2.2
Oct-17,3,1.2,1.5,1.1,1.7,2
Nov-17,3.1,1.2,1.7,1.1,1.9,2.2
Dec-17,3,1.2,1.5,1,1.8,2.1
Jan-18,3,1.5,1.5,1.2,1.7,2.1
