Date,CPIH,Transport,Motor fuels
Aug-12,2.3,1.8,-0.1
Sep-12,2.1,2.6,2.8
Oct-12,2.4,3.1,2.4
Nov-12,2.4,2.7,1
Dec-12,2.4,1.2,-0.2
Jan-13,2.4,1.1,-0.8
Feb-13,2.5,1.8,0.8
Mar-13,2.5,1.6,0.1
Apr-13,2.2,-0.2,-3.7
May-13,2.4,1,-2.9
Jun-13,2.6,1.7,1
Jul-13,2.5,1.6,2.4
Aug-13,2.4,1.4,1.3
Sep-13,2.4,1.1,-1.6
Oct-13,2,-0.3,-4.2
Nov-13,1.9,0.1,-3.6
Dec-13,1.9,0.5,-1.4
Jan-14,1.8,0.5,-1.8
Feb-14,1.6,-0.4,-5.1
Mar-14,1.5,-1,-6.6
Apr-14,1.7,1.5,-5
May-14,1.5,0.4,-2.5
Jun-14,1.8,0.8,-3
Jul-14,1.6,1.2,-2.9
Aug-14,1.5,1,-5.7
Sep-14,1.3,0,-6
Oct-14,1.3,0.5,-4.8
Nov-14,1.1,-0.2,-5.9
Dec-14,0.7,-1.4,-10.5
Jan-15,0.5,-2.8,-16.2
Feb-15,0.4,-2.7,-16.6
Mar-15,0.3,-1.9,-13.7
Apr-15,0.3,-2.7,-12.3
May-15,0.4,-1.5,-11
Jun-15,0.3,-1.8,-10.5
Jul-15,0.5,-1.8,-11.4
Aug-15,0.4,-2.5,-12.9
Sep-15,0.2,-2.7,-14.9
Oct-15,0.2,-2.7,-14
Nov-15,0.4,-2.1,-12.9
Dec-15,0.5,-0.2,-11.4
Jan-16,0.6,-0.5,-7.3
Feb-16,0.6,-0.9,-7.3
Mar-16,0.8,-0.1,-9.2
Apr-16,0.7,-1.3,-7.5
May-16,0.7,-1,-6.8
Jun-16,0.8,-0.3,-5.5
Jul-16,0.9,0.1,-4.3
Aug-16,1,0.7,-2.6
Sep-16,1.3,1.2,1.4
Oct-16,1.3,2.3,4.7
Nov-16,1.5,2.7,7.4
Dec-16,1.8,3.6,10
Jan-17,1.9,5.3,16.8
Feb-17,2.3,6.6,19.4
Mar-17,2.3,4.4,17.1
Apr-17,2.6,6.2,11.5
May-17,2.7,4.5,7.5
Jun-17,2.6,3.5,4.1
Jul-17,2.6,3,2
Aug-17,2.7,3.2,5.1
Sep-17,2.8,4,6.1
Oct-17,2.8,3.8,3.4
Nov-17,2.8,4.2,3.5
Dec-17,2.7,3.7,4.7
Jan-18,2.7,3.3,2.1
Feb-18,2.5,2.7,0.8
Mar-18,2.3,2.9,0.3
Apr-18,2.2,2.3,3.1
May-18,2.3,4.6,8
Jun-18,2.3,5.3,11.6
Jul-18,2.3,5.6,12.4
Aug-18,2.4,6,11.7
Sep-18,2.2,5.5,10.8
Oct-18,2.2,5.3,11.9
Nov-18,2.2,4.8,8.9
Dec-18,2,3.3,3.4
Jan-19,1.8,3.1,0.7
Feb-19,1.8,3,0.5
Mar-19,1.8,3.2,2.9
Apr-19,2,4.6,4.3
May-19,1.9,2.7,3.4
Jun-19,1.9,2.3,0.7
Jul-19,2,1.3,0.2
Aug-19,1.7,1.3,-0.1
Sep-19,1.7,0.5,-2.1
Oct-19,1.5,0.7,-3.3
Nov-19,1.5,0.8,-2.9
Dec-19,1.4,0.7,1
Jan-20,1.8,1.8,4.7
Feb-20,1.7,1.9,2.8
Mar-20,1.5,1.3,-2.4
Apr-20,0.9,-0.9,-12.2
May-20,0.7,-1.6,-16.7
Jun-20,0.8,-1.5,-16.4
Jul-20,1.1,-0.6,-12
Aug-20,0.5,-0.8,-11.4
Sep-20,0.7,1,-10.6
Oct-20,0.9,1.3,-10.2
Nov-20,0.6,1,-10
Dec-20,0.8,1.9,-8.3
Jan-21,0.9,2.3,-8.2
Feb-21,0.7,2.6,-3.5
Mar-21,1,3.9,3.5
Apr-21,1.6,5,13.6
May-21,2.1,6.5,17.9
Jun-21,2.4,7.3,20.3
Jul-21,2.1,7.9,17.7
Aug-21,3,8.1,17.7
Sep-21,2.9,8.5,17.8
Oct-21,3.8,10,21.5
Nov-21,4.6,12.5,28.5
Dec-21,4.8,12.1,26.8
Jan-22,4.9,11.6,23.6
Feb-22,5.5,11.7,22.3
Mar-22,6.2,13.6,30.7
Apr-22,7.8,13.7,31.4
May-22,7.9,14,32.8
Jun-22,8.2,15.2,42.3
Jul-22,8.8,15.1,43.7
Aug-22,8.6,12.4,32.1
