Date,CPIH,Food and non-alcoholic beverages
Aug-12,2.3,2.2
Sep-12,2.1,2
Oct-12,2.4,3.4
Nov-12,2.4,3.9
Dec-12,2.4,3.8
Jan-13,2.4,4.2
Feb-13,2.5,3.7
Mar-13,2.5,3.7
Apr-13,2.2,4.6
May-13,2.4,4.2
Jun-13,2.6,3.8
Jul-13,2.5,3.9
Aug-13,2.4,4.2
Sep-13,2.4,4.3
Oct-13,2,3.9
Nov-13,1.9,2.8
Dec-13,1.9,1.9
Jan-14,1.8,2
Feb-14,1.6,1.8
Mar-14,1.5,1.7
Apr-14,1.7,0.6
May-14,1.5,-0.6
Jun-14,1.8,0
Jul-14,1.6,-0.4
Aug-14,1.5,-1.1
Sep-14,1.3,-1.4
Oct-14,1.3,-1.4
Nov-14,1.1,-1.7
Dec-14,0.7,-1.7
Jan-15,0.5,-2.5
Feb-15,0.4,-3.3
Mar-15,0.3,-3
Apr-15,0.3,-2.9
May-15,0.4,-1.8
Jun-15,0.3,-2.2
Jul-15,0.5,-2.7
Aug-15,0.4,-2.4
Sep-15,0.2,-2.2
Oct-15,0.2,-2.7
Nov-15,0.4,-2.4
Dec-15,0.5,-2.9
Jan-16,0.6,-2.6
Feb-16,0.6,-2.2
Mar-16,0.8,-2.8
Apr-16,0.7,-2.5
May-16,0.7,-2.8
Jun-16,0.8,-3
Jul-16,0.9,-2.6
Aug-16,1,-2.2
Sep-16,1.3,-2.3
Oct-16,1.3,-2.4
Nov-16,1.5,-2.1
Dec-16,1.8,-1.1
Jan-17,1.9,-0.5
Feb-17,2.3,0.2
Mar-17,2.3,1.3
Apr-17,2.6,1.6
May-17,2.7,2.1
Jun-17,2.6,2.4
Jul-17,2.6,2.6
Aug-17,2.7,2.2
Sep-17,2.8,3.1
Oct-17,2.8,4.1
Nov-17,2.8,4.2
Dec-17,2.7,4.1
Jan-18,2.7,3.7
Feb-18,2.5,3
Mar-18,2.3,3.1
Apr-18,2.2,2.7
May-18,2.3,2.3
Jun-18,2.3,2
Jul-18,2.3,2.3
Aug-18,2.4,2.4
Sep-18,2.2,1.5
Oct-18,2.2,0.9
Nov-18,2.2,0.5
Dec-18,2,0.7
Jan-19,1.8,0.9
Feb-19,1.8,1.2
Mar-19,1.8,0.8
Apr-19,2,0.7
May-19,1.9,1.1
Jun-19,1.9,1.7
Jul-19,2,1.5
Aug-19,1.7,1.8
Sep-19,1.7,1.7
Oct-19,1.5,1.4
Nov-19,1.5,2.1
Dec-19,1.4,1.7
Jan-20,1.8,1.4
Feb-20,1.7,1.3
Mar-20,1.5,1.3
Apr-20,0.9,1.4
May-20,0.7,1.9
Jun-20,0.8,1.2
Jul-20,1.1,0.8
Aug-20,0.5,0.4
Sep-20,0.7,0
Oct-20,0.9,0.6
Nov-20,0.6,-0.5
Dec-20,0.8,-1.4
Jan-21,0.9,-0.7
Feb-21,0.7,-0.6
Mar-21,1,-1.4
Apr-21,1.6,-0.5
May-21,2.1,-1.3
Jun-21,2.4,-0.6
Jul-21,2.1,-0.6
Aug-21,3,0.3
Sep-21,2.9,0.8
Oct-21,3.8,1.3
Nov-21,4.6,2.5
Dec-21,4.8,4.2
Jan-22,4.9,4.4
Feb-22,5.5,5.1
Mar-22,6.2,5.9
Apr-22,7.8,6.7
May-22,7.9,8.7
Jun-22,8.2,9.8
Jul-22,8.8,12.7
Aug-22,8.6,13.1
